IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.80.142.93,443,TRUE,TPE,Asia Pacific,Taipei,78 ms,15363 kB/s
34.154.6.72,443,TRUE,FRA,Europe,Frankfurt,250 ms,5613 kB/s
34.65.150.119,443,TRUE,FRA,Europe,Frankfurt,236 ms,5237 kB/s
34.116.195.249,443,TRUE,FRA,Europe,Frankfurt,273 ms,4921 kB/s
34.65.201.127,443,TRUE,FRA,Europe,Frankfurt,231 ms,4916 kB/s
34.118.46.250,443,TRUE,FRA,Europe,Frankfurt,296 ms,4911 kB/s
34.90.108.106,443,TRUE,FRA,Europe,Frankfurt,254 ms,4880 kB/s
34.116.142.118,443,TRUE,FRA,Europe,Frankfurt,300 ms,4750 kB/s
34.154.248.87,443,TRUE,FRA,Europe,Frankfurt,246 ms,4665 kB/s
34.65.86.132,443,TRUE,FRA,Europe,Frankfurt,256 ms,4595 kB/s
34.118.11.220,443,TRUE,FRA,Europe,Frankfurt,279 ms,4543 kB/s
34.116.231.238,443,TRUE,FRA,Europe,Frankfurt,286 ms,4472 kB/s
34.91.71.101,443,TRUE,FRA,Europe,Frankfurt,249 ms,4464 kB/s
34.118.126.123,443,TRUE,FRA,Europe,Frankfurt,287 ms,4392 kB/s
34.154.245.81,443,TRUE,FRA,Europe,Frankfurt,243 ms,4381 kB/s
34.116.214.251,443,TRUE,FRA,Europe,Frankfurt,291 ms,4336 kB/s
34.154.164.20,443,TRUE,FRA,Europe,Frankfurt,240 ms,4334 kB/s
34.65.236.103,443,TRUE,FRA,Europe,Frankfurt,235 ms,4328 kB/s
34.65.216.199,443,TRUE,FRA,Europe,Frankfurt,229 ms,4284 kB/s
34.34.42.7,443,TRUE,FRA,Europe,Frankfurt,246 ms,4257 kB/s
34.116.248.189,443,TRUE,FRA,Europe,Frankfurt,277 ms,4202 kB/s
34.91.250.0,443,TRUE,FRA,Europe,Frankfurt,245 ms,4164 kB/s
34.65.226.188,443,TRUE,FRA,Europe,Frankfurt,236 ms,4123 kB/s
34.32.151.237,443,TRUE,FRA,Europe,Frankfurt,260 ms,4117 kB/s
34.154.230.148,443,TRUE,FRA,Europe,Frankfurt,239 ms,4101 kB/s
35.204.32.219,443,TRUE,FRA,Europe,Frankfurt,243 ms,4100 kB/s
34.116.156.226,443,TRUE,FRA,Europe,Frankfurt,292 ms,4075 kB/s
34.154.172.44,443,TRUE,FRA,Europe,Frankfurt,270 ms,4072 kB/s
34.118.11.212,443,TRUE,FRA,Europe,Frankfurt,276 ms,4012 kB/s
34.118.78.27,443,TRUE,FRA,Europe,Frankfurt,296 ms,4001 kB/s
34.118.92.6,443,TRUE,FRA,Europe,Frankfurt,268 ms,3944 kB/s
34.118.6.166,443,TRUE,FRA,Europe,Frankfurt,279 ms,3932 kB/s
34.90.186.118,443,TRUE,FRA,Europe,Frankfurt,256 ms,3930 kB/s
34.65.84.112,443,TRUE,FRA,Europe,Frankfurt,256 ms,3913 kB/s
34.116.149.54,443,TRUE,FRA,Europe,Frankfurt,247 ms,3810 kB/s
34.116.221.100,443,TRUE,FRA,Europe,Frankfurt,297 ms,3757 kB/s
34.154.232.65,443,TRUE,FRA,Europe,Frankfurt,241 ms,3734 kB/s
34.154.178.111,443,TRUE,FRA,Europe,Frankfurt,268 ms,3686 kB/s
34.91.64.141,443,TRUE,FRA,Europe,Frankfurt,249 ms,3628 kB/s
34.154.26.7,443,TRUE,FRA,Europe,Frankfurt,247 ms,3512 kB/s
34.118.121.235,443,TRUE,FRA,Europe,Frankfurt,282 ms,3460 kB/s
34.154.131.195,443,TRUE,FRA,Europe,Frankfurt,254 ms,3456 kB/s
34.91.66.231,443,TRUE,FRA,Europe,Frankfurt,244 ms,3436 kB/s
34.116.249.57,443,TRUE,FRA,Europe,Frankfurt,283 ms,3427 kB/s
34.65.214.170,443,TRUE,FRA,Europe,Frankfurt,240 ms,3372 kB/s
34.65.118.63,443,TRUE,FRA,Europe,Frankfurt,230 ms,3337 kB/s
34.116.218.79,443,TRUE,FRA,Europe,Frankfurt,274 ms,3311 kB/s
34.107.94.122,443,TRUE,FRA,Europe,Frankfurt,234 ms,3285 kB/s
34.32.240.117,443,TRUE,FRA,Europe,Frankfurt,247 ms,3236 kB/s
34.116.225.214,443,TRUE,FRA,Europe,Frankfurt,278 ms,3224 kB/s
34.154.205.28,443,TRUE,FRA,Europe,Frankfurt,257 ms,3135 kB/s
34.107.56.108,443,TRUE,FRA,Europe,Frankfurt,235 ms,3087 kB/s
35.234.82.120,443,TRUE,FRA,Europe,Frankfurt,225 ms,2924 kB/s
34.107.50.26,443,TRUE,FRA,Europe,Frankfurt,304 ms,2916 kB/s
34.32.166.130,443,TRUE,FRA,Europe,Frankfurt,251 ms,2914 kB/s
34.118.99.120,443,TRUE,FRA,Europe,Frankfurt,286 ms,2762 kB/s
34.89.224.127,443,TRUE,FRA,Europe,Frankfurt,244 ms,2760 kB/s
34.65.99.243,443,TRUE,FRA,Europe,Frankfurt,247 ms,2700 kB/s
34.65.77.172,443,TRUE,FRA,Europe,Frankfurt,267 ms,2669 kB/s
34.91.67.64,443,TRUE,FRA,Europe,Frankfurt,247 ms,2655 kB/s
34.89.203.75,443,TRUE,FRA,Europe,Frankfurt,237 ms,2604 kB/s
34.116.247.197,443,TRUE,AMS,Europe,Amsterdam,298 ms,2594 kB/s
34.91.110.191,443,TRUE,FRA,Europe,Frankfurt,254 ms,2547 kB/s
34.32.173.210,443,TRUE,FRA,Europe,Frankfurt,244 ms,2543 kB/s
34.34.24.107,443,TRUE,FRA,Europe,Frankfurt,251 ms,2530 kB/s
35.204.46.220,443,TRUE,FRA,Europe,Frankfurt,240 ms,2479 kB/s
34.90.56.154,443,TRUE,FRA,Europe,Frankfurt,261 ms,2460 kB/s
34.65.119.116,443,TRUE,FRA,Europe,Frankfurt,247 ms,2459 kB/s
34.91.228.224,443,TRUE,FRA,Europe,Frankfurt,243 ms,2434 kB/s
34.65.40.117,443,TRUE,FRA,Europe,Frankfurt,241 ms,2418 kB/s
34.90.155.147,443,TRUE,FRA,Europe,Frankfurt,243 ms,2390 kB/s
34.154.37.246,443,TRUE,FRA,Europe,Frankfurt,242 ms,2380 kB/s
34.118.78.11,443,TRUE,FRA,Europe,Frankfurt,275 ms,2356 kB/s
34.65.130.144,443,TRUE,FRA,Europe,Frankfurt,243 ms,2341 kB/s
34.65.122.213,443,TRUE,FRA,Europe,Frankfurt,245 ms,2281 kB/s
34.89.145.108,443,TRUE,FRA,Europe,Frankfurt,251 ms,2271 kB/s
34.65.54.201,443,TRUE,FRA,Europe,Frankfurt,236 ms,2268 kB/s
34.34.35.197,443,TRUE,FRA,Europe,Frankfurt,250 ms,2268 kB/s
34.91.188.243,443,TRUE,FRA,Europe,Frankfurt,238 ms,2267 kB/s
34.65.140.253,443,TRUE,FRA,Europe,Frankfurt,235 ms,2244 kB/s
34.65.222.97,443,TRUE,FRA,Europe,Frankfurt,232 ms,2233 kB/s
34.118.1.202,443,TRUE,FRA,Europe,Frankfurt,297 ms,2222 kB/s
34.65.41.157,443,TRUE,FRA,Europe,Frankfurt,235 ms,2124 kB/s
34.65.207.85,443,TRUE,FRA,Europe,Frankfurt,235 ms,2087 kB/s
34.116.251.158,443,TRUE,AMS,Europe,Amsterdam,299 ms,2086 kB/s
34.116.158.196,443,TRUE,FRA,Europe,Frankfurt,293 ms,2085 kB/s
34.91.75.60,443,TRUE,FRA,Europe,Frankfurt,252 ms,2073 kB/s
34.154.169.19,443,TRUE,FRA,Europe,Frankfurt,253 ms,1989 kB/s
34.118.101.53,443,TRUE,FRA,Europe,Frankfurt,301 ms,1956 kB/s
34.90.71.209,443,TRUE,FRA,Europe,Frankfurt,264 ms,1929 kB/s
34.116.132.31,443,TRUE,FRA,Europe,Frankfurt,299 ms,1913 kB/s
34.90.84.203,443,TRUE,FRA,Europe,Frankfurt,248 ms,1887 kB/s
34.65.219.21,443,TRUE,FRA,Europe,Frankfurt,232 ms,1884 kB/s
34.107.14.208,443,TRUE,FRA,Europe,Frankfurt,250 ms,1884 kB/s
34.118.119.46,443,TRUE,FRA,Europe,Frankfurt,295 ms,1881 kB/s
34.107.48.37,443,TRUE,FRA,Europe,Frankfurt,248 ms,1871 kB/s
34.154.135.191,443,TRUE,FRA,Europe,Frankfurt,231 ms,1862 kB/s
34.154.240.99,443,TRUE,FRA,Europe,Frankfurt,245 ms,1842 kB/s
34.154.223.58,443,TRUE,FRA,Europe,Frankfurt,238 ms,1823 kB/s
34.91.12.47,443,TRUE,FRA,Europe,Frankfurt,247 ms,1821 kB/s
34.118.40.155,443,TRUE,FRA,Europe,Frankfurt,281 ms,1778 kB/s
34.116.159.95,443,TRUE,FRA,Europe,Frankfurt,282 ms,1743 kB/s
34.118.82.136,443,TRUE,FRA,Europe,Frankfurt,274 ms,1679 kB/s
34.90.29.94,443,TRUE,FRA,Europe,Frankfurt,257 ms,1672 kB/s
34.154.245.132,443,TRUE,FRA,Europe,Frankfurt,249 ms,1663 kB/s
34.91.69.135,443,TRUE,FRA,Europe,Frankfurt,252 ms,1651 kB/s
34.116.185.16,443,TRUE,FRA,Europe,Frankfurt,296 ms,1647 kB/s
34.116.238.191,443,TRUE,FRA,Europe,Frankfurt,289 ms,1631 kB/s
34.116.156.196,443,TRUE,FRA,Europe,Frankfurt,299 ms,1609 kB/s
34.118.54.237,443,TRUE,FRA,Europe,Frankfurt,291 ms,1592 kB/s
34.118.76.103,443,TRUE,FRA,Europe,Frankfurt,276 ms,1585 kB/s
34.116.188.159,443,TRUE,FRA,Europe,Frankfurt,283 ms,1534 kB/s
34.116.147.141,443,TRUE,FRA,Europe,Frankfurt,283 ms,1487 kB/s
34.32.207.49,443,TRUE,FRA,Europe,Frankfurt,256 ms,1462 kB/s
34.116.131.199,443,TRUE,FRA,Europe,Frankfurt,279 ms,1458 kB/s
34.90.255.182,443,TRUE,FRA,Europe,Frankfurt,251 ms,1458 kB/s
34.65.16.59,443,TRUE,FRA,Europe,Frankfurt,235 ms,1440 kB/s
34.65.212.101,443,TRUE,FRA,Europe,Frankfurt,234 ms,1431 kB/s
34.118.78.222,443,TRUE,FRA,Europe,Frankfurt,292 ms,1430 kB/s
34.116.234.141,443,TRUE,FRA,Europe,Frankfurt,287 ms,1360 kB/s
34.154.117.230,443,TRUE,FRA,Europe,Frankfurt,249 ms,1336 kB/s
34.116.181.51,443,TRUE,FRA,Europe,Frankfurt,299 ms,1333 kB/s
34.65.163.137,443,TRUE,FRA,Europe,Frankfurt,237 ms,1286 kB/s
34.118.27.151,443,TRUE,FRA,Europe,Frankfurt,283 ms,1283 kB/s
34.90.123.5,443,TRUE,FRA,Europe,Frankfurt,261 ms,1268 kB/s
34.116.174.240,443,TRUE,FRA,Europe,Frankfurt,290 ms,1241 kB/s
34.116.206.29,443,TRUE,FRA,Europe,Frankfurt,275 ms,1136 kB/s
34.118.78.73,443,TRUE,FRA,Europe,Frankfurt,272 ms,1100 kB/s
34.116.151.54,443,TRUE,FRA,Europe,Frankfurt,276 ms,1099 kB/s
34.90.231.30,443,TRUE,FRA,Europe,Frankfurt,251 ms,1078 kB/s
34.118.3.118,443,TRUE,FRA,Europe,Frankfurt,276 ms,1036 kB/s
34.154.207.2,443,TRUE,FRA,Europe,Frankfurt,263 ms,1033 kB/s
34.154.143.213,443,TRUE,FRA,Europe,Frankfurt,245 ms,994 kB/s
35.204.152.142,443,TRUE,FRA,Europe,Frankfurt,247 ms,985 kB/s
34.118.2.183,443,TRUE,FRA,Europe,Frankfurt,298 ms,921 kB/s
34.118.102.129,443,TRUE,FRA,Europe,Frankfurt,303 ms,908 kB/s
34.116.216.206,443,TRUE,FRA,Europe,Frankfurt,289 ms,896 kB/s
34.118.115.104,443,TRUE,FRA,Europe,Frankfurt,299 ms,883 kB/s
34.65.197.0,443,TRUE,FRA,Europe,Frankfurt,238 ms,806 kB/s
34.89.204.90,443,TRUE,FRA,Europe,Frankfurt,240 ms,774 kB/s
34.159.194.36,443,TRUE,FRA,Europe,Frankfurt,243 ms,735 kB/s
35.229.161.32,443,TRUE,TPE,Asia Pacific,Taipei,81 ms,723 kB/s
34.147.91.221,443,TRUE,FRA,Europe,Frankfurt,251 ms,662 kB/s
35.246.230.27,443,TRUE,FRA,Europe,Frankfurt,234 ms,579 kB/s
34.154.104.145,443,TRUE,FRA,Europe,Frankfurt,253 ms,572 kB/s
34.116.181.67,443,TRUE,FRA,Europe,Frankfurt,296 ms,564 kB/s
34.154.164.148,443,TRUE,FRA,Europe,Frankfurt,246 ms,556 kB/s
34.154.198.179,443,TRUE,FRA,Europe,Frankfurt,264 ms,515 kB/s
34.118.80.189,443,TRUE,FRA,Europe,Frankfurt,286 ms,475 kB/s
34.91.84.129,443,TRUE,FRA,Europe,Frankfurt,247 ms,457 kB/s
34.91.206.56,443,TRUE,FRA,Europe,Frankfurt,247 ms,444 kB/s
34.116.143.136,443,TRUE,FRA,Europe,Frankfurt,288 ms,408 kB/s
34.116.195.230,443,TRUE,FRA,Europe,Frankfurt,296 ms,400 kB/s
34.118.117.35,443,TRUE,FRA,Europe,Frankfurt,279 ms,387 kB/s
34.90.30.193,443,TRUE,FRA,Europe,Frankfurt,250 ms,374 kB/s
34.116.142.89,443,TRUE,FRA,Europe,Frankfurt,299 ms,344 kB/s
34.91.31.93,443,TRUE,FRA,Europe,Frankfurt,243 ms,329 kB/s
34.154.173.177,443,TRUE,FRA,Europe,Frankfurt,277 ms,265 kB/s
34.118.44.55,443,TRUE,FRA,Europe,Frankfurt,286 ms,255 kB/s
34.154.157.176,443,TRUE,FRA,Europe,Frankfurt,237 ms,86 kB/s
34.65.180.77,443,TRUE,FRA,Europe,Frankfurt,233 ms,0 kB/s
34.116.255.149,443,TRUE,FRA,Europe,Frankfurt,286 ms,0 kB/s
34.154.217.153,443,TRUE,FRA,Europe,Frankfurt,253 ms,0 kB/s
34.90.145.46,443,TRUE,FRA,Europe,Frankfurt,247 ms,0 kB/s
34.22.100.72,443,TRUE,ICN,Asia Pacific,Seoul,215 ms,0 kB/s
34.65.254.136,443,TRUE,FRA,Europe,Frankfurt,244 ms,0 kB/s
34.89.151.141,443,TRUE,FRA,Europe,Frankfurt,246 ms,0 kB/s
34.90.250.194,443,TRUE,FRA,Europe,Frankfurt,243 ms,0 kB/s
34.116.132.141,443,TRUE,FRA,Europe,Frankfurt,284 ms,0 kB/s
35.236.55.171,443,TRUE,LAX,North America,Los Angeles,206 ms,0 kB/s
34.159.126.157,443,TRUE,FRA,Europe,Frankfurt,247 ms,0 kB/s
34.32.146.80,443,TRUE,FRA,Europe,Frankfurt,261 ms,0 kB/s
34.116.176.165,443,TRUE,FRA,Europe,Frankfurt,272 ms,0 kB/s
34.65.181.48,443,TRUE,FRA,Europe,Frankfurt,230 ms,0 kB/s
34.154.100.104,443,TRUE,FRA,Europe,Frankfurt,246 ms,0 kB/s
34.118.64.153,443,TRUE,FRA,Europe,Frankfurt,292 ms,0 kB/s
34.83.75.32,443,TRUE,SEA,North America,Seattle,201 ms,0 kB/s
47.243.162.49,2053,TRUE,HKG,Asia Pacific,Hong Kong,61 ms,14887 kB/s
47.76.94.15,2053,TRUE,HKG,Asia Pacific,Hong Kong,58 ms,9544 kB/s
47.88.101.9,80,TRUE,SJC,North America,San Jose,170 ms,7477 kB/s
47.76.94.15,2087,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,7428 kB/s
8.210.9.129,2087,TRUE,HKG,Asia Pacific,Hong Kong,71 ms,7200 kB/s
47.243.162.49,2087,TRUE,HKG,Asia Pacific,Hong Kong,62 ms,6967 kB/s
8.210.9.129,2083,TRUE,HKG,Asia Pacific,Hong Kong,65 ms,6932 kB/s
8.210.9.129,8443,TRUE,HKG,Asia Pacific,Hong Kong,69 ms,6901 kB/s
8.219.97.179,2083,TRUE,SIN,Asia Pacific,Singapore,232 ms,6555 kB/s
47.243.162.49,2083,TRUE,HKG,Asia Pacific,Hong Kong,57 ms,6535 kB/s
8.219.97.179,2096,TRUE,SIN,Asia Pacific,Singapore,218 ms,6169 kB/s
47.243.162.49,8443,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,6146 kB/s
47.236.121.7,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,6117 kB/s
47.236.87.246,2096,TRUE,SIN,Asia Pacific,Singapore,239 ms,5756 kB/s
8.219.245.187,2083,TRUE,SIN,Asia Pacific,Singapore,254 ms,5723 kB/s
47.236.75.113,2053,TRUE,SIN,Asia Pacific,Singapore,218 ms,5684 kB/s
8.219.67.133,8443,TRUE,SIN,Asia Pacific,Singapore,223 ms,5682 kB/s
47.236.97.90,2096,TRUE,SIN,Asia Pacific,Singapore,233 ms,5679 kB/s
8.219.101.138,2053,TRUE,SIN,Asia Pacific,Singapore,243 ms,5666 kB/s
8.219.101.138,2096,TRUE,SIN,Asia Pacific,Singapore,213 ms,5636 kB/s
47.236.10.100,2096,TRUE,SIN,Asia Pacific,Singapore,254 ms,5529 kB/s
47.236.144.156,8443,TRUE,SIN,Asia Pacific,Singapore,219 ms,5503 kB/s
47.236.10.182,2083,TRUE,SIN,Asia Pacific,Singapore,233 ms,5493 kB/s
8.222.254.91,8443,TRUE,SIN,Asia Pacific,Singapore,231 ms,5449 kB/s
47.236.172.95,2053,TRUE,SIN,Asia Pacific,Singapore,229 ms,5403 kB/s
47.236.10.182,8443,TRUE,SIN,Asia Pacific,Singapore,256 ms,5393 kB/s
47.236.180.51,2053,TRUE,SIN,Asia Pacific,Singapore,217 ms,5391 kB/s
47.76.94.15,2096,TRUE,HKG,Asia Pacific,Hong Kong,60 ms,5385 kB/s
47.236.171.205,2083,TRUE,SIN,Asia Pacific,Singapore,220 ms,5378 kB/s
47.236.10.182,2096,TRUE,SIN,Asia Pacific,Singapore,252 ms,5343 kB/s
47.76.32.108,2096,TRUE,HKG,Asia Pacific,Hong Kong,64 ms,5336 kB/s
8.219.67.133,2053,TRUE,SIN,Asia Pacific,Singapore,217 ms,5317 kB/s
47.236.144.196,8443,TRUE,SIN,Asia Pacific,Singapore,212 ms,5241 kB/s
47.236.117.48,443,TRUE,SIN,Asia Pacific,Singapore,250 ms,5182 kB/s
8.219.106.156,2083,TRUE,SIN,Asia Pacific,Singapore,230 ms,5171 kB/s
47.236.254.120,2096,TRUE,SIN,Asia Pacific,Singapore,238 ms,5131 kB/s
