IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.93.176,2052,FALSE,SIN,Asia Pacific,Singapore,253 ms,5169 kB/s
47.236.117.48,8080,FALSE,SIN,Asia Pacific,Singapore,220 ms,5156 kB/s
47.237.8.82,2082,FALSE,SIN,Asia Pacific,Singapore,219 ms,5134 kB/s
47.236.144.208,2095,FALSE,SIN,Asia Pacific,Singapore,218 ms,5128 kB/s
8.219.103.57,8080,FALSE,SIN,Asia Pacific,Singapore,231 ms,5127 kB/s
8.219.245.187,2095,FALSE,SIN,Asia Pacific,Singapore,218 ms,5113 kB/s
47.236.254.120,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,5105 kB/s
47.236.121.7,2082,FALSE,SIN,Asia Pacific,Singapore,226 ms,5105 kB/s
8.222.219.34,80,FALSE,SIN,Asia Pacific,Singapore,221 ms,5105 kB/s
47.236.121.7,2086,FALSE,SIN,Asia Pacific,Singapore,219 ms,5082 kB/s
8.210.9.129,2086,FALSE,HKG,Asia Pacific,Hong Kong,69 ms,5073 kB/s
8.222.219.34,8880,FALSE,SIN,Asia Pacific,Singapore,220 ms,5049 kB/s
8.219.235.164,8080,FALSE,SIN,Asia Pacific,Singapore,235 ms,5046 kB/s
8.219.97.179,8080,FALSE,SIN,Asia Pacific,Singapore,241 ms,5045 kB/s
47.236.117.48,2082,FALSE,SIN,Asia Pacific,Singapore,243 ms,5028 kB/s
47.236.254.120,2086,FALSE,SIN,Asia Pacific,Singapore,223 ms,5007 kB/s
47.236.158.158,2086,FALSE,SIN,Asia Pacific,Singapore,226 ms,4997 kB/s
8.222.254.91,2052,FALSE,SIN,Asia Pacific,Singapore,217 ms,4990 kB/s
47.236.169.15,8880,FALSE,SIN,Asia Pacific,Singapore,221 ms,4982 kB/s
47.236.144.156,8880,FALSE,SIN,Asia Pacific,Singapore,256 ms,4979 kB/s
47.236.144.156,80,FALSE,SIN,Asia Pacific,Singapore,261 ms,4976 kB/s
47.236.11.84,2095,FALSE,SIN,Asia Pacific,Singapore,241 ms,4974 kB/s
47.236.97.90,2052,FALSE,SIN,Asia Pacific,Singapore,239 ms,4970 kB/s
47.236.166.131,2052,FALSE,SIN,Asia Pacific,Singapore,244 ms,4964 kB/s
47.236.116.26,2095,FALSE,SIN,Asia Pacific,Singapore,240 ms,4958 kB/s
8.222.254.91,2095,FALSE,SIN,Asia Pacific,Singapore,217 ms,4931 kB/s
47.236.97.90,2095,FALSE,SIN,Asia Pacific,Singapore,223 ms,4917 kB/s
8.219.101.138,2052,FALSE,SIN,Asia Pacific,Singapore,217 ms,4908 kB/s
47.236.75.113,80,FALSE,SIN,Asia Pacific,Singapore,218 ms,4905 kB/s
47.236.170.54,8880,FALSE,SIN,Asia Pacific,Singapore,227 ms,4879 kB/s
8.219.103.57,2082,FALSE,SIN,Asia Pacific,Singapore,224 ms,4878 kB/s
47.236.123.133,80,FALSE,SIN,Asia Pacific,Singapore,265 ms,4860 kB/s
47.236.254.120,2052,FALSE,SIN,Asia Pacific,Singapore,229 ms,4856 kB/s
47.236.117.48,2052,FALSE,SIN,Asia Pacific,Singapore,253 ms,4841 kB/s
47.236.10.100,2086,FALSE,SIN,Asia Pacific,Singapore,214 ms,4837 kB/s
47.236.144.156,2095,FALSE,SIN,Asia Pacific,Singapore,270 ms,4836 kB/s
47.236.170.54,80,FALSE,SIN,Asia Pacific,Singapore,220 ms,4786 kB/s
47.236.149.107,8080,FALSE,SIN,Asia Pacific,Singapore,229 ms,4764 kB/s
8.222.254.91,2082,FALSE,SIN,Asia Pacific,Singapore,220 ms,4759 kB/s
8.219.67.133,2052,FALSE,SIN,Asia Pacific,Singapore,216 ms,4734 kB/s
8.219.245.187,8080,FALSE,SIN,Asia Pacific,Singapore,219 ms,4724 kB/s
47.236.93.176,8080,FALSE,SIN,Asia Pacific,Singapore,237 ms,4702 kB/s
47.236.104.98,2082,FALSE,SIN,Asia Pacific,Singapore,226 ms,4681 kB/s
47.236.10.100,80,FALSE,SIN,Asia Pacific,Singapore,233 ms,4676 kB/s
8.222.254.91,8080,FALSE,SIN,Asia Pacific,Singapore,235 ms,4601 kB/s
47.236.83.239,80,FALSE,SIN,Asia Pacific,Singapore,235 ms,4601 kB/s
47.236.75.113,8880,FALSE,SIN,Asia Pacific,Singapore,213 ms,4589 kB/s
47.236.10.182,80,FALSE,SIN,Asia Pacific,Singapore,221 ms,4586 kB/s
47.236.149.107,2052,FALSE,SIN,Asia Pacific,Singapore,245 ms,4567 kB/s
8.219.101.138,80,FALSE,SIN,Asia Pacific,Singapore,241 ms,4566 kB/s
47.236.11.84,8880,FALSE,SIN,Asia Pacific,Singapore,243 ms,4549 kB/s
47.236.158.158,2082,FALSE,SIN,Asia Pacific,Singapore,222 ms,4544 kB/s
47.237.8.82,8080,FALSE,SIN,Asia Pacific,Singapore,218 ms,4510 kB/s
8.219.97.179,80,FALSE,SIN,Asia Pacific,Singapore,226 ms,4507 kB/s
47.236.104.11,2086,FALSE,SIN,Asia Pacific,Singapore,234 ms,4486 kB/s
8.219.97.179,2095,FALSE,SIN,Asia Pacific,Singapore,234 ms,4473 kB/s
47.236.165.25,2086,FALSE,SIN,Asia Pacific,Singapore,224 ms,4473 kB/s
47.76.94.15,8880,FALSE,HKG,Asia Pacific,Hong Kong,59 ms,4462 kB/s
47.243.162.49,2095,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,4458 kB/s
47.236.93.176,2095,FALSE,SIN,Asia Pacific,Singapore,236 ms,4432 kB/s
47.236.104.11,2052,FALSE,SIN,Asia Pacific,Singapore,223 ms,4430 kB/s
47.236.10.182,8080,FALSE,SIN,Asia Pacific,Singapore,236 ms,4393 kB/s
47.236.158.158,8080,FALSE,SIN,Asia Pacific,Singapore,252 ms,4388 kB/s
47.236.116.26,8880,FALSE,SIN,Asia Pacific,Singapore,248 ms,4376 kB/s
47.236.83.239,2052,FALSE,SIN,Asia Pacific,Singapore,240 ms,4364 kB/s
47.236.150.13,2082,FALSE,SIN,Asia Pacific,Singapore,243 ms,4354 kB/s
47.236.254.120,80,FALSE,SIN,Asia Pacific,Singapore,230 ms,4343 kB/s
47.236.116.26,80,FALSE,SIN,Asia Pacific,Singapore,218 ms,4341 kB/s
47.236.158.158,8880,FALSE,SIN,Asia Pacific,Singapore,235 ms,4340 kB/s
47.236.170.54,2095,FALSE,SIN,Asia Pacific,Singapore,220 ms,4312 kB/s
47.236.254.120,2082,FALSE,SIN,Asia Pacific,Singapore,225 ms,4298 kB/s
47.236.180.51,2086,FALSE,SIN,Asia Pacific,Singapore,249 ms,4293 kB/s
47.236.104.98,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,4284 kB/s
47.236.167.231,2082,FALSE,SIN,Asia Pacific,Singapore,238 ms,4278 kB/s
47.236.121.7,80,FALSE,SIN,Asia Pacific,Singapore,271 ms,4275 kB/s
47.236.10.182,2086,FALSE,SIN,Asia Pacific,Singapore,230 ms,4248 kB/s
47.236.169.15,2086,FALSE,SIN,Asia Pacific,Singapore,221 ms,4239 kB/s
47.236.87.246,2095,FALSE,SIN,Asia Pacific,Singapore,219 ms,4238 kB/s
47.236.202.91,2095,FALSE,SIN,Asia Pacific,Singapore,236 ms,4238 kB/s
47.237.8.82,2086,FALSE,SIN,Asia Pacific,Singapore,232 ms,4228 kB/s
47.236.165.25,2095,FALSE,SIN,Asia Pacific,Singapore,236 ms,4219 kB/s
47.236.172.71,80,FALSE,SIN,Asia Pacific,Singapore,237 ms,4214 kB/s
47.243.162.49,2082,FALSE,HKG,Asia Pacific,Hong Kong,57 ms,4213 kB/s
47.236.171.205,8880,FALSE,SIN,Asia Pacific,Singapore,223 ms,4197 kB/s
47.236.93.176,8880,FALSE,SIN,Asia Pacific,Singapore,239 ms,4186 kB/s
47.236.169.15,2052,FALSE,SIN,Asia Pacific,Singapore,221 ms,4181 kB/s
47.236.165.25,8880,FALSE,SIN,Asia Pacific,Singapore,232 ms,4177 kB/s
47.236.75.113,2095,FALSE,SIN,Asia Pacific,Singapore,228 ms,4173 kB/s
47.236.172.71,2052,FALSE,SIN,Asia Pacific,Singapore,230 ms,4163 kB/s
47.236.75.113,8080,FALSE,SIN,Asia Pacific,Singapore,218 ms,4160 kB/s
47.236.174.206,8080,FALSE,SIN,Asia Pacific,Singapore,222 ms,4154 kB/s
47.236.123.133,2052,FALSE,SIN,Asia Pacific,Singapore,219 ms,4150 kB/s
47.236.10.182,8880,FALSE,SIN,Asia Pacific,Singapore,229 ms,4148 kB/s
8.222.254.91,80,FALSE,SIN,Asia Pacific,Singapore,240 ms,4142 kB/s
47.236.144.196,80,FALSE,SIN,Asia Pacific,Singapore,252 ms,4132 kB/s
47.236.104.98,2095,FALSE,SIN,Asia Pacific,Singapore,217 ms,4132 kB/s
47.236.167.231,2052,FALSE,SIN,Asia Pacific,Singapore,230 ms,4130 kB/s
47.236.150.13,80,FALSE,SIN,Asia Pacific,Singapore,220 ms,4129 kB/s
47.236.253.41,2086,FALSE,SIN,Asia Pacific,Singapore,245 ms,4128 kB/s
8.219.142.191,2086,FALSE,SIN,Asia Pacific,Singapore,230 ms,4126 kB/s
47.236.11.84,2086,FALSE,SIN,Asia Pacific,Singapore,219 ms,4119 kB/s
47.236.170.54,2082,FALSE,SIN,Asia Pacific,Singapore,216 ms,4119 kB/s
47.236.169.15,2095,FALSE,SIN,Asia Pacific,Singapore,239 ms,4109 kB/s
47.236.116.26,8080,FALSE,SIN,Asia Pacific,Singapore,241 ms,4098 kB/s
8.219.245.187,2086,FALSE,SIN,Asia Pacific,Singapore,238 ms,4097 kB/s
8.222.219.34,2095,FALSE,SIN,Asia Pacific,Singapore,220 ms,4096 kB/s
47.236.104.11,2082,FALSE,SIN,Asia Pacific,Singapore,250 ms,4079 kB/s
47.236.117.48,2086,FALSE,SIN,Asia Pacific,Singapore,215 ms,4053 kB/s
8.210.9.129,80,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,4045 kB/s
47.236.168.17,2082,FALSE,SIN,Asia Pacific,Singapore,223 ms,4013 kB/s
47.237.8.82,2095,FALSE,SIN,Asia Pacific,Singapore,234 ms,3984 kB/s
47.236.169.164,2052,FALSE,SIN,Asia Pacific,Singapore,228 ms,3971 kB/s
47.236.144.196,2086,FALSE,SIN,Asia Pacific,Singapore,256 ms,3958 kB/s
47.236.172.71,8880,FALSE,SIN,Asia Pacific,Singapore,242 ms,3953 kB/s
47.236.167.231,80,FALSE,SIN,Asia Pacific,Singapore,239 ms,3942 kB/s
8.219.103.57,2095,FALSE,SIN,Asia Pacific,Singapore,235 ms,3918 kB/s
47.236.169.164,8880,FALSE,SIN,Asia Pacific,Singapore,224 ms,3882 kB/s
47.236.144.196,2052,FALSE,SIN,Asia Pacific,Singapore,272 ms,3879 kB/s
47.236.10.100,2082,FALSE,SIN,Asia Pacific,Singapore,227 ms,3879 kB/s
8.222.219.34,8080,FALSE,SIN,Asia Pacific,Singapore,235 ms,3851 kB/s
47.236.97.90,2086,FALSE,SIN,Asia Pacific,Singapore,219 ms,3842 kB/s
8.219.106.156,2082,FALSE,SIN,Asia Pacific,Singapore,241 ms,3837 kB/s
47.88.85.197,2095,FALSE,SJC,North America,San Jose,174 ms,3832 kB/s
47.236.169.15,2082,FALSE,SIN,Asia Pacific,Singapore,234 ms,3809 kB/s
47.236.167.231,2095,FALSE,SIN,Asia Pacific,Singapore,221 ms,3787 kB/s
8.222.254.91,8880,FALSE,SIN,Asia Pacific,Singapore,253 ms,3782 kB/s
8.219.153.237,2095,FALSE,NRT,Asia Pacific,Tokyo,309 ms,3773 kB/s
47.236.171.205,2052,FALSE,SIN,Asia Pacific,Singapore,225 ms,3757 kB/s
47.236.104.11,8880,FALSE,SIN,Asia Pacific,Singapore,215 ms,3754 kB/s
47.236.253.41,8080,FALSE,SIN,Asia Pacific,Singapore,222 ms,3724 kB/s
8.219.142.191,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,3702 kB/s
47.236.11.84,2052,FALSE,SIN,Asia Pacific,Singapore,235 ms,3697 kB/s
47.236.144.208,2086,FALSE,SIN,Asia Pacific,Singapore,262 ms,3659 kB/s
8.219.122.55,2082,FALSE,SIN,Asia Pacific,Singapore,218 ms,3640 kB/s
47.236.116.26,2052,FALSE,SIN,Asia Pacific,Singapore,233 ms,3630 kB/s
47.236.180.51,2052,FALSE,SIN,Asia Pacific,Singapore,220 ms,3608 kB/s
47.236.83.239,2095,FALSE,SIN,Asia Pacific,Singapore,244 ms,3604 kB/s
47.236.116.26,2086,FALSE,SIN,Asia Pacific,Singapore,220 ms,3577 kB/s
8.222.219.34,2052,FALSE,SIN,Asia Pacific,Singapore,227 ms,3531 kB/s
47.236.158.158,2052,FALSE,SIN,Asia Pacific,Singapore,216 ms,3516 kB/s
47.236.166.131,8080,FALSE,SIN,Asia Pacific,Singapore,213 ms,3501 kB/s
47.236.166.131,2082,FALSE,SIN,Asia Pacific,Singapore,235 ms,3498 kB/s
47.236.93.176,2082,FALSE,SIN,Asia Pacific,Singapore,218 ms,3496 kB/s
8.219.235.164,80,FALSE,SIN,Asia Pacific,Singapore,220 ms,3489 kB/s
47.76.94.15,8080,FALSE,HKG,Asia Pacific,Hong Kong,66 ms,3488 kB/s
47.236.104.98,80,FALSE,SIN,Asia Pacific,Singapore,224 ms,3487 kB/s
47.236.121.7,8080,FALSE,SIN,Asia Pacific,Singapore,233 ms,3469 kB/s
47.236.180.51,8080,FALSE,SIN,Asia Pacific,Singapore,213 ms,3464 kB/s
47.236.104.11,8080,FALSE,SIN,Asia Pacific,Singapore,241 ms,3415 kB/s
8.219.156.148,2086,FALSE,SIN,Asia Pacific,Singapore,215 ms,3408 kB/s
47.236.169.15,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,3395 kB/s
47.236.83.239,8080,FALSE,SIN,Asia Pacific,Singapore,233 ms,3389 kB/s
47.236.121.7,2052,FALSE,SIN,Asia Pacific,Singapore,275 ms,3323 kB/s
47.236.169.141,2052,FALSE,SIN,Asia Pacific,Singapore,223 ms,3321 kB/s
47.236.10.100,2052,FALSE,SIN,Asia Pacific,Singapore,228 ms,3303 kB/s
47.236.169.164,2095,FALSE,SIN,Asia Pacific,Singapore,224 ms,3263 kB/s
47.236.104.98,2086,FALSE,SIN,Asia Pacific,Singapore,220 ms,3260 kB/s
8.219.209.14,2095,FALSE,SIN,Asia Pacific,Singapore,230 ms,3243 kB/s
47.236.170.54,2052,FALSE,SIN,Asia Pacific,Singapore,225 ms,3240 kB/s
47.236.166.131,2095,FALSE,SIN,Asia Pacific,Singapore,215 ms,3230 kB/s
47.76.32.108,8080,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,3222 kB/s
47.236.104.98,8880,FALSE,SIN,Asia Pacific,Singapore,239 ms,3180 kB/s
47.236.125.62,2082,FALSE,NRT,Asia Pacific,Tokyo,308 ms,3170 kB/s
47.236.167.231,2086,FALSE,SIN,Asia Pacific,Singapore,230 ms,3160 kB/s
47.236.202.91,8080,FALSE,SIN,Asia Pacific,Singapore,235 ms,3083 kB/s
8.219.142.191,2052,FALSE,SIN,Asia Pacific,Singapore,239 ms,3056 kB/s
47.236.165.25,80,FALSE,SIN,Asia Pacific,Singapore,227 ms,3045 kB/s
47.243.162.49,8080,FALSE,HKG,Asia Pacific,Hong Kong,64 ms,3009 kB/s
47.236.144.208,8880,FALSE,SIN,Asia Pacific,Singapore,253 ms,3009 kB/s
47.236.10.100,2095,FALSE,SIN,Asia Pacific,Singapore,216 ms,2980 kB/s
47.236.97.90,80,FALSE,SIN,Asia Pacific,Singapore,253 ms,2920 kB/s
47.236.104.98,2052,FALSE,SIN,Asia Pacific,Singapore,241 ms,2918 kB/s
47.236.174.206,2095,FALSE,SIN,Asia Pacific,Singapore,223 ms,2890 kB/s
47.236.121.7,8880,FALSE,SIN,Asia Pacific,Singapore,247 ms,2890 kB/s
47.237.8.82,8880,FALSE,SIN,Asia Pacific,Singapore,236 ms,2869 kB/s
47.76.32.108,80,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,2813 kB/s
47.236.253.41,8880,FALSE,SIN,Asia Pacific,Singapore,230 ms,2781 kB/s
47.236.75.113,2082,FALSE,SIN,Asia Pacific,Singapore,218 ms,2761 kB/s
47.236.253.41,2082,FALSE,SIN,Asia Pacific,Singapore,233 ms,2735 kB/s
47.236.174.206,80,FALSE,SIN,Asia Pacific,Singapore,224 ms,2651 kB/s
8.219.67.133,2086,FALSE,SIN,Asia Pacific,Singapore,210 ms,2637 kB/s
47.236.116.26,2082,FALSE,SIN,Asia Pacific,Singapore,242 ms,2625 kB/s
47.76.32.108,2052,FALSE,HKG,Asia Pacific,Hong Kong,67 ms,2603 kB/s
47.236.169.164,8080,FALSE,SIN,Asia Pacific,Singapore,216 ms,2441 kB/s
8.219.97.179,8880,FALSE,SIN,Asia Pacific,Singapore,215 ms,2354 kB/s
8.219.153.237,8880,FALSE,NRT,Asia Pacific,Tokyo,288 ms,2242 kB/s
47.236.97.90,2082,FALSE,SIN,Asia Pacific,Singapore,251 ms,2236 kB/s
8.219.67.133,8080,FALSE,SIN,Asia Pacific,Singapore,219 ms,2163 kB/s
8.219.122.55,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,2161 kB/s
47.76.178.146,2086,FALSE,HKG,Asia Pacific,Hong Kong,56 ms,1756 kB/s
47.76.171.106,8080,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,1581 kB/s
8.210.107.246,8080,FALSE,HKG,Asia Pacific,Hong Kong,60 ms,1243 kB/s
47.243.162.49,8880,FALSE,HKG,Asia Pacific,Hong Kong,58 ms,1053 kB/s
